publisher;title;author;category;primary_isbn13;barnes_and_noble_price;rating;ban_link
Harmony;OUTLIVE;Peter Attia with Bill Gifford;Hardcover Nonfiction;9,78059E+12;32;5;https://www.barnesandnoble.com/w/outlive-peter-attia-md/1141470538?ean=9780593236598
Doubleday;THE WAGER;David Grann;Hardcover Nonfiction;9,78039E+12;30;4.5;https://www.barnesandnoble.com/w/the-wager-david-grann/1141813906?ean=9780385534260
Simon & Schuster;I'M GLAD MY MOM DIED;Jennette McCurdy;Hardcover Nonfiction;9,78198E+12;27.99;4.5;https://www.barnesandnoble.com/w/im-glad-my-mom-died-jennette-mccurdy/1140377015?ean=9781982185824
Doubleday;QUANTUM SUPREMACY;Michio Kaku;Hardcover Nonfiction;9,78039E+12;30;2.7;https://www.barnesandnoble.com/w/quantum-supremacy-michio-kaku/1141941766?ean=9780385548366
Flatiron;BEYOND THE STORY;BTS and Myeongseok Kang;Hardcover Nonfiction;9,78125E+12;45;4.9;https://www.barnesandnoble.com/w/beyond-the-story-bts/1143474669?ean=9781250326751
Flatiron;PAGEBOY;Elliot Page;Hardcover Nonfiction;9,78125E+12;29.99;3.8;https://www.barnesandnoble.com/w/pageboy-elliot-page/1141673209?ean=9781250878359
Ballantine;THE IN-BETWEEN;Hadley Vlahos;Hardcover Nonfiction;9,78059E+12;27;4.9;https://www.barnesandnoble.com/w/the-in-between-hadley-vlahos-rn/1142242368?ean=9780593499931
Viking;THINK AGAIN;Adam Grant;Hardcover Nonfiction;9,78198E+12;28;4.4;https://www.barnesandnoble.com/w/think-again-adam-grant/1137570667?ean=9781984878106
Simon & Schuster;THE FOURTH TURNING IS HERE;Neil Howe;Hardcover Nonfiction;9,78198E+12;32.50;0;https://www.barnesandnoble.com/w/the-fourth-turning-is-here-neil-howe/1142483520?ean=9781982173739
Flatiron;WHAT HAPPENED TO YOU?;Bruce D. Perry and Oprah Winfrey;Hardcover Nonfiction;9,78125E+12;28.99;4.5;https://www.barnesandnoble.com/w/what-happened-to-you-oprah-winfrey/1138411016?ean=9781250223180
Knopf;THE ART THIEF;Michael Finkel;Hardcover Nonfiction;9,78053E+12;28;4.1;https://www.barnesandnoble.com/w/the-art-thief-michael-finkel/1142363800?ean=9780525657323
All Seasons;TUCKER;Chadwick Moore;Hardcover Nonfiction;9,78196E+12;30;5;https://www.barnesandnoble.com/w/tucker-chadwick-moore/1143475570?ean=9781958682012
